transaction_id,customer_id,product_id,product_name,quantity,price_per_unit,total_price,transaction_date
fcfcfa81-b306-4700-99d5-f97098b33c6e,CUST018,PROD-7923,Charger,8.0,224.13,1793.04,2025-01-10
fd1ac7ce-1ad0-46f2-a6bd-d974d3b564b0,CUST042,PROD-9668,Charger,2.0,340.97,681.94,2025-05-10
24aeba79-e4b8-4987-98ba-0f0e120d7126,CUST062,PROD-1045,Charger,9.0,303.07,2727.63,2025-01-03
b7d6467b-2f5a-422a-b87f-43fdf6062541,CUST016,PROD-0086,Headphones,6.0,307.39,1844.34,2025-01-18
c787ddfb-5697-417c-97fd-3736b7ef941c,CUST033,PROD-2294,Headphones,2.0,275.98,551.96,2025-03-16
babd4745-497e-4f1a-bd2b-f042209818d1,CUST051,PROD-0762,Headphones,6.0,45.77,274.62,2025-06-20
1f12a0e9-1201-4caa-9a3d-a367141b1a1b,CUST061,PROD-5203,Headphones,10.0,318.93,3189.3,2025-03-11
280a07ee-4ec9-45ff-94b2-8b9d88819f42,CUST065,PROD-2358,Headphones,10.0,64.25,642.5,2025-02-13
c15648ff-df0d-4301-888c-ac4e5a9414b8,CUST101,PROD-1014,Headphones,2.0,325.23,650.46,2025-04-12
0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,CUST026,PROD-6381,Keyboard,2.0,99.58,199.16,2025-05-19
a83023ab-053e-4b42-8c4d-a021dd620222,CUST049,PROD-4894,Keyboard,7.0,291.95,2043.65,2025-01-11
f164f9d8-4312-4ce2-9c21-51e17e56ac3d,CUST050,PROD-6602,Keyboard,8.0,248.86,1990.88,2025-06-29
5b471c43-7499-428c-b0c3-2323c1b199c4,CUST057,PROD-0074,Keyboard,3.0,169.61,508.83,2025-01-04
5f59aa2c-4a82-406a-af16-fb50c13e66af,CUST066,PROD-2906,Keyboard,2.0,188.22,376.44,2025-05-15
5a62ddc4-e209-4f49-a0a1-0d2bc57c7998,CUST087,PROD-8869,Keyboard,2.0,300.41,600.82,2025-04-04
5e6364c6-30ac-49dd-8b5a-afef85a1282a,CUST091,PROD-5334,Keyboard,9.0,459.17,4132.53,2025-05-20
